DrugBank_id,drug_smile
DB05528,COCCOC1C(O)C(COP(O)(=S)OC2C(COP(O)(=S)OC3C(COP(O)(=S)OC4C(COP(O)(=S)OC5C(COP(O)(=S)OC6CC(n7cc(C)c(=N)nc7O)OC6COP(O)(=S)OC6CC(n7cc(C)c(O)nc7=O)OC6COP(O)(=S)OC6CC(n7cc(C)c(O)nc7=O)OC6COP(O)(=S)OC6CC(n7cc(C)c(=N)nc7O)OC6COP(O)(=S)OC6CC(n7cnc8c(O)nc(=N)[nH]c87)OC6COP(O)(=S)OC6CC(n7cc(C)c(O)nc7=O)OC6COP(O)(=S)OC6CC(n7cc(C)c(=N)nc7O)OC6COP(O)(=S)OC6CC(n7cc(C)c(O)nc7=O)OC6COP(O)(=S)OC6CC(n7cnc8c(O)nc(=N)[nH]c87)OC6COP(O)(=S)OC6CC(n7cnc8c(N)ncnc87)OC6COP(O)(=S)OC6C(COP(O)(=S)OC7C(COP(O)(=S)OC8C(COP(O)(=S)OC9C(COP(O)(=S)OC%10C(CO)OC(n%11cnc%12c(O)nc(=N)[nH]c%12%11)C%10OCCOC)OC(n%10cc(C)c(=N)nc%10O)C9OCCOC)OC(n9cc(C)c(=N)nc9O)C8OCCOC)OC(n8cc(C)c(O)nc8=O)C7OCCOC)OC(n7cc(C)c(=N)nc7O)C6OCCOC)OC(n6cnc7c(O)nc(=N)[nH]c76)C5OCCOC)OC(n5cc(C)c(=N)nc5O)C4OCCOC)OC(n4cnc5c(N)ncnc54)C3OCCOC)OC(n3cc(C)c(=N)nc3O)C2OCCOC)OC1n1cc(C)c(=N)nc1O
DB06788,CC(=O)O.CC(=O)O.CCN=C(O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)N=C(O)[C@H](CC(C)C)N=C(O)[C@@H](Cc1cn(Cc2ccccc2)cn1)N=C(O)[C@H](Cc1ccc(O)cc1)N=C(O)[C@H](CO)N=C(O)[C@H](Cc1c[nH]c2ccccc12)N=C(O)[C@H](Cc1cnc[nH]1)N=C(O)[C@@H]1CCC(O)=N1
DB01141,CCCCCOc1ccc(-c2cc(-c3ccc(C(=O)N[C@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@H](O)CC(N)=O)NC(=O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)c(OS(=O)(=O)O)c5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@@H](C)O)NC4=O)cc3)no2)cc1
DB11817,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1
DB09042,Cn1nnc(-c2ccc(-c3ccc(N4C[C@H](COP(=O)(O)O)OC4=O)cc3F)cn2)n1
DB06699,CC(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)N[C@H](Cc1cccnc1)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccc(NC(=O)[C@@H]2CC(=O)NC(=O)N2)cc1)C(=O)N[C@H](Cc1ccc(NC(N)=O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O
DB01393,CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O
DB12834,Cc1ncc([N+](=O)[O-])n1CC(C)O
DB00244,Nc1ccc(O)c(C(=O)O)c1
DB00336,NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1
DB00796,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1
DB05245,Nc1ccc(S(=O)(=O)[N-]c2ncccn2)cc1.[Ag+]
DB08932,CCCNS(=O)(=O)Nc1ncnc(OCCOc2ncc(Br)cn2)c1-c1ccc(Br)cc1
DB00835,CN(C)CCC(c1ccc(Br)cc1)c1ccccn1
DB00114,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
DB00804,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1
DB00735,CN(CC=Cc1ccccc1)Cc1cccc2ccccc12
DB00639,Clc1ccc(CCC(Cn2ccnc2)Sc2c(Cl)cccc2Cl)cc1
DB00988,NCCc1ccc(O)c(O)c1
DB00968,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O
DB09218,Cc1c(Cl)cccc1Nc1ncccc1C(=O)O
DB08828,CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1
DB01194,CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21
DB00998,CN[C@@H]1CCc2[nH]c3ccc(C(N)=O)cc3c2C1
DB08803,Cc1ccc(C(C)C)c(OCC2=NCCN2)c1
DB01132,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1
DB00609,CCc1cc(C(N)=S)ccn1
DB01394,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2
DB00238,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1
DB00557,OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
DB00963,Nc1c(CC(=O)O)cccc1C(=O)c1ccc(Br)cc1
DB08814,CC(=O)Oc1cc(C(F)(F)F)ccc1C(=O)O
DB13853,COc1ccc(-c2cc(=S)ss2)cc1
DB00181,NCC(CC(=O)O)c1ccc(Cl)cc1
DB00255,CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1
DB11296,NCCCC[C@H](NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)CN)C(=O)O
DB00519,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@H]2CCCC[C@@H]21
DB00427,Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1
DB01166,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1
DB00050,CC(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)N[C@H](Cc1cccnc1)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](CCCNC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O
DB01626,C#CCN(C)Cc1ccccc1
